콘텐츠,조회수,시청 시간(단위: 시간),노출수,노출 클릭률 (%)
합계,2932,11.0,9696,4.3
"비 오는 99칸 고택, 마당의 고요 🏯 #정읍 #한옥",492,1.4,456,6.8
"기러기 내려앉던 그 자리, 완주 비비정 #shorts",446,0.4,142,4.2
백제 왕들이 잠든 솔숲길 #Shorts [건축사가 걷는 백제],398,0.7,167,5.4
"강경 옥녀봉, 금강이 만든 포구 #Shorts [건축사가 걷는 백제]",393,0.4,154,2.0
산성이 99%인데… 해미읍성은 왜 평지에? #shorts,388,0.4,174,4.0
"안개 낀 백제CC, 40년 우정의 라운딩 ⛳ 친구 넷이 걷는",158,2.0,2914,4.4
밤하늘 수놓은 불꽃 🎆 익산 원광 열린음악회 피날레,59,0.2,591,2.0
오른 사람만 보는 관악산 정상 뷰,45,0.2,213,5.6
느긋한 주말 바람과 함께 최북단 녹차밭 휴식,28,0.0,243,0.8
[건축사 필수 시청] 2026년 상주감리 대가 산출기 작성,26,0.3,49,20.4
건축물 해체공사 감리비 산출 가이드 (실비정액가산방식),23,0.6,140,12.1
백제가 마지막으로 싸운 바위,23,0.1,89,2.3
천 년을 산 나무 앞에서,21,0.1,69,4.4
스프링클러 펌프 용량계산 가이드: NFTC 103 기준,19,0.2,129,10.1
낙화암에서 본 백마강 12초,18,0.0,138,0.7
